Entity,Code,Year,Annual CO₂ emissions,Annual CO₂ emissions
North America (excl. USA),,1933,2.734902411518178,91966110
North America (excl. USA),,1934,2.860660785913975,104591110
North America (excl. USA),,1935,2.7730083853299203,106365460
North America (excl. USA),,1936,2.734285917466682,115056856
North America (excl. USA),,1937,2.8212630916881887,126864170
North America (excl. USA),,1938,2.819421031882866,119250776
North America (excl. USA),,1939,2.8633531322239603,127995740
North America (excl. USA),,1940,2.9364098480627825,143433740
North America (excl. USA),,1941,3.0673809063291686,153341220
North America (excl. USA),,1942,3.2383175176456076,161349940
North America (excl. USA),,1943,3.316142337246837,168303280
North America (excl. USA),,1944,3.3316580140676875,171996400
North America (excl. USA),,1945,3.844321266377844,164894960
North America (excl. USA),,1946,3.8079059832453748,175489140
North America (excl. USA),,1947,3.591445646463037,185505550
North America (excl. USA),,1948,3.7109898748266157,202170460
North America (excl. USA),,1949,3.6155815214665368,188156130
North America (excl. USA),,1950,3.4302607567227588,203422830
North America (excl. USA),,1951,3.4811664917292755,222148160
North America (excl. USA),,1952,3.3574813737968077,217143780
North America (excl. USA),,1953,3.2936074788786107,219054060
North America (excl. USA),,1954,3.3702695455068223,228825440
North America (excl. USA),,1955,3.1944893556645892,237794460
North America (excl. USA),,1956,3.332537374911414,264137340
North America (excl. USA),,1957,3.268398575503311,267539500
North America (excl. USA),,1958,3.2753374321918236,275691300
North America (excl. USA),,1959,3.19782798836492,283157730
North America (excl. USA),,1960,3.1098992394643217,291926560
North America (excl. USA),,1961,3.1605746751841064,297569440
North America (excl. USA),,1962,3.2376735429980714,315585340
North America (excl. USA),,1963,3.079430712455889,316158140
North America (excl. USA),,1964,3.3006670637870466,357279580
North America (excl. USA),,1965,3.2913266660623637,372267140
North America (excl. USA),,1966,3.245637348710444,385016480
North America (excl. USA),,1967,3.4451948739783522,421598720
North America (excl. USA),,1968,3.4768644132022795,448694900
North America (excl. USA),,1969,3.3896495268800697,466471970
North America (excl. USA),,1970,3.5088429613309207,522782430
North America (excl. USA),,1971,3.5504871767422483,550457860
North America (excl. USA),,1972,3.629599881648883,588883300
North America (excl. USA),,1973,3.5802236039237334,611684540
North America (excl. USA),,1974,3.7027810636511207,629882750
North America (excl. USA),,1975,3.810159856522686,649737150
North America (excl. USA),,1976,3.8170972572932973,686661900
North America (excl. USA),,1977,3.7914421365955255,701365000
North America (excl. USA),,1978,3.8577429791159346,735644200
North America (excl. USA),,1979,3.996784312545241,783730240
North America (excl. USA),,1980,4.163820944969872,811467260
North America (excl. USA),,1981,4.246565987629182,807820200
North America (excl. USA),,1982,4.318373762619489,814924540
North America (excl. USA),,1983,4.067831138875858,772558850
North America (excl. USA),,1984,4.059431466339291,797589000
North America (excl. USA),,1985,3.9912140003628287,810691460
North America (excl. USA),,1986,3.8059681276819246,784598900
North America (excl. USA),,1987,3.8980175000683,828331500
North America (excl. USA),,1988,3.862026074668726,852933200
North America (excl. USA),,1989,3.94615359409062,883410800
North America (excl. USA),,1990,3.818280288396434,867856060
North America (excl. USA),,1991,3.759612514923519,871707000
North America (excl. USA),,1992,3.9356397226404107,886627100
North America (excl. USA),,1993,3.9240600220997996,892950140
North America (excl. USA),,1994,4.0220478636302905,924786750
North America (excl. USA),,1995,3.9254771893579345,923746400
North America (excl. USA),,1996,3.9426089067595864,956404540
North America (excl. USA),,1997,4.090246018324722,998097800
North America (excl. USA),,1998,4.216240677193233,1024705600
North America (excl. USA),,1999,4.221232563431092,1049133500
North America (excl. USA),,2000,4.2656902728815185,1088201000
North America (excl. USA),,2001,4.285041627649367,1101525200
North America (excl. USA),,2002,4.241083898972025,1114423900
North America (excl. USA),,2003,4.207452204705806,1164180400
North America (excl. USA),,2004,4.057379005744148,1161729000
North America (excl. USA),,2005,4.015378510861934,1189129700
North America (excl. USA),,2006,3.9384886537786112,1206295600
North America (excl. USA),,2007,3.911931387497328,1233613200
North America (excl. USA),,2008,3.79244175173721,1216395300
North America (excl. USA),,2009,3.7052793704238414,1168716300
North America (excl. USA),,2010,3.5479296407829377,1183444000
North America (excl. USA),,2011,3.5347611418935805,1219653000
North America (excl. USA),,2012,3.5363116955569236,1237709800
North America (excl. USA),,2013,3.5035175378433965,1236799700
North America (excl. USA),,2014,3.458586522701135,1226072200
North America (excl. USA),,2015,3.467349733382009,1227611600
North America (excl. USA),,2016,3.4284368662192843,1214237700
North America (excl. USA),,2017,3.3502682189907294,1205758100
North America (excl. USA),,2018,3.321522003037691,1220009200
North America (excl. USA),,2019,3.3182538712823035,1231214100
North America (excl. USA),,2020,3.165699919717907,1112000400
North America (excl. USA),,2021,3.1372936485051754,1160539400
North America (excl. USA),,2022,3.1870478063788674,1188572400
North America (excl. USA),,2023,3.207484488913872,1212158700
Oceania,,1923,0.7998647830772846,29520592
Oceania,,1924,0.869097575438716,32180746
Oceania,,1925,0.901477116332706,33720956
Oceania,,1926,0.9207423995095606,33859450
Oceania,,1927,0.8912359280317445,35764830
Oceania,,1928,0.8441112152783811,33733316
Oceania,,1929,0.7415764116123782,31800364
Oceania,,1930,0.7772553468334384,30764512
Oceania,,1931,0.7569248634842294,26789996
Oceania,,1932,0.8328573151336676,26589732
Oceania,,1933,0.8424096605309283,28327570
Oceania,,1934,0.8257644194868521,30191492
Oceania,,1935,0.8631636863665574,33108736
Oceania,,1936,0.8481609302556287,35690024
Oceania,,1937,0.8481128375773288,38137220
Oceania,,1938,0.8970646610176615,37942420
Oceania,,1939,0.949534353980057,42445464
Oceania,,1940,0.8210418592073095,40105132
Oceania,,1941,0.8868646613722917,44335188
Oceania,,1942,0.9457625531591844,47122844
Oceania,,1943,0.9174720469722112,46564212
Oceania,,1944,0.9006589887073033,46496400
Oceania,,1945,1.043972104983574,44779228
Oceania,,1946,1.0474424837599794,48271880
Oceania,,1947,0.9724266628866868,50227836
Oceania,,1948,0.9639523630324516,52515016
Oceania,,1949,1.0313694927335866,53672830
Oceania,,1950,1.0912524486697248,64713932
Oceania,,1951,1.0934728338421105,69779190
Oceania,,1952,1.120989862238587,72499576
Oceania,,1953,1.086592465603007,72268020
Oceania,,1954,1.1459524214081271,77804776
Oceania,,1955,1.1075598297007443,82445600
Oceania,,1956,1.094233277530198,86729070
Oceania,,1957,1.066019128516162,87260540
Oceania,,1958,1.0606171444923493,89274136
Oceania,,1959,1.0662930985771475,94416940
Oceania,,1960,1.068484442405058,100298744
Oceania,,1961,1.0640697479663708,100182616
Oceania,,1962,1.059720797172166,103294030
Oceania,,1963,1.0670315517428364,109549700
Oceania,,1964,1.0967537923808408,118717740
Oceania,,1965,1.1447493080519804,129477440
Oceania,,1966,1.115095429783415,132279140
Oceania,,1967,1.1326947686650606,138611220
Oceania,,1968,1.1269314369299892,145432300
Oceania,,1969,1.1170080795681203,153718830
Oceania,,1970,1.1156056535894585,166214060
Oceania,,1971,1.1006523367326528,170642140
Oceania,,1972,1.0725738528170328,174019410
Oceania,,1973,1.1332670976670036,193619740
Oceania,,1974,1.121218173844079,190731230
Oceania,,1975,1.1541810860050796,196819650
Oceania,,1976,1.079573356460923,194205660
Oceania,,1977,1.1220930758146919,207571890
Oceania,,1978,1.121419931620842,213846820
Oceania,,1979,1.0911310136388397,213960100
Oceania,,1980,1.1667794624479413,227388100
Oceania,,1981,1.2395140172673147,235791570
Oceania,,1982,1.2786515199407935,241295580
Oceania,,1983,1.2142187578082586,230603340
Oceania,,1984,1.23056837211591,241779620
Oceania,,1985,1.2400707480977904,251881950
Oceania,,1986,1.224175890373342,252363400
Oceania,,1987,1.2439876348932823,264348260
Oceania,,1988,1.2305876803599947,271776800
Oceania,,1989,1.2862145906500266,287940100
Oceania,,1990,1.361688015764792,309497760
Oceania,,1991,1.3440083711169704,311622940
Oceania,,1992,1.4145019428089385,318661220
Oceania,,1993,1.419048029911462,322915330
Oceania,,1994,1.4267207114302278,328044930
Oceania,,1995,1.4428444573348764,339531300
Oceania,,1996,1.434711621173819,348034700
Oceania,,1997,1.4691348197436511,358496830
Oceania,,1998,1.52977526037194,371793120
Oceania,,1999,1.5392515689546022,382561340
Oceania,,2000,1.529092426036998,390079870
Oceania,,2001,1.5574303019515998,400357540
Oceania,,2002,1.544925532787735,405958000
Oceania,,2003,1.5024312325471845,415715000
Oceania,,2004,1.5002834408558847,429568640
Oceania,,2005,1.4673716244480626,434553100
Oceania,,2006,1.4389958915353769,440741250
Oceania,,2007,1.4227755315130537,448667040
Oceania,,2008,1.4144753400544976,453681630
Oceania,,2009,1.4360730180024208,452965020
Oceania,,2010,1.3541290977926448,451682000
Oceania,,2011,1.3053346215565438,450399680
Oceania,,2012,1.295637203233391,453473280
Oceania,,2013,1.2640782157262067,446240540
Oceania,,2014,1.2492472386132354,442859330
Oceania,,2015,1.2768824059520387,452078900
Oceania,,2016,1.3005410692036912,460608160
Oceania,,2017,1.293056639642183,465369760
Oceania,,2018,1.275846876524812,468624000
Oceania,,2019,1.2668387610420573,470051360
Oceania,,2020,1.2801352521346117,449667040
Oceania,,2021,1.188539959136944,439661570
Oceania,,2022,1.1611261804703956,433028500
Oceania,,2023,1.1386207989831527,430302660
South America,,1923,0.5393102076155188,19904310
South America,,1924,0.6734815336305283,24937520
South America,,1925,0.7075130782455863,26465472
South America,,1926,0.7479781352727074,27506204
South America,,1927,0.7515408539437682,30158940
South America,,1928,0.790901953518948,31606908
South America,,1929,0.8109067627419682,34773396
South America,,1930,0.7478834460518672,29601944
South America,,1931,0.7632798123294848,27014918
South America,,1932,0.9529680771393944,30424378
South America,,1933,1.0221494469306007,34371650
South America,,1934,1.0513495939881443,38439308
South America,,1935,1.081005527717836,41464588
South America,,1936,0.9718998032543635,40896870
South America,,1937,1.137041156155624,51129504
South America,,1938,1.1263287938243791,47639420
South America,,1939,1.041849246924427,46572064
South America,,1940,1.0422935381494727,50912532
South America,,1941,1.030311526535387,51506230
South America,,1942,0.9711429840187769,48387430
South America,,1943,0.966137881328987,49034136
South America,,1944,1.04762142218532,54083316
South America,,1945,1.276561349843412,54755708
South America,,1946,1.2506160618413384,57635230
South America,,1947,1.2177433665014603,62898948
South America,,1948,1.2862430146239983,70073040
South America,,1949,1.3687938143906355,71232510
South America,,1950,1.9124596139862557,113413520
South America,,1951,2.057171532458737,131276936
South America,,1952,2.187334597123461,141465000
South America,,1953,2.1144906409507973,140632350
South America,,1954,2.2246234192618046,151041460
South America,,1955,2.2846335284397354,170065740
South America,,1956,2.323585816480345,184167710
South America,,1957,2.3566048038883523,192903300
South America,,1958,2.1234705228237303,178736500
South America,,1959,2.2245187291985604,196974220
South America,,1960,2.1214479898386576,199140540
South America,,1961,2.1429155103975552,201756400
South America,,1962,2.212204942556799,215629970
South America,,1963,2.1367884001152175,219379200
South America,,1964,2.1261795513650523,230147580
South America,,1965,2.122732097968978,240092670
South America,,1966,2.124236800624124,251989390
South America,,1967,2.1845355692502393,267328100
South America,,1968,2.2286047591783227,287605000
South America,,1969,2.2616116715595913,311235260
South America,,1970,2.2674420666597275,337826140
South America,,1971,2.2351990383494607,346539170
South America,,1972,2.234629094441988,362556700
South America,,1973,2.2983041127234674,392667400
South America,,1974,2.4485833215681625,416530270
South America,,1975,2.4140244658278642,411657630
South America,,1976,2.3310153412030736,419328960
South America,,1977,2.3504889744050175,434808350
South America,,1978,2.423321149223064,462110140
South America,,1979,2.520963092366902,494336160
South America,,1980,2.6084779436748713,508353860
South America,,1981,2.5743653676342766,489719070
South America,,1982,2.6011715527166923,490869630
South America,,1983,2.5581227306666987,485836380
South America,,1984,2.5013643002871273,491463070
South America,,1985,2.470486073283501,501802700
South America,,1986,2.5697772748403804,529758620
South America,,1987,2.6223530774168435,557251900
South America,,1988,2.627410343347618,580266800
South America,,1989,2.5897520209550398,579758200
South America,,1990,2.6319310020165316,598211000
South America,,1991,2.6135187013778656,605972700
South America,,1992,2.743288751860094,618012400
South America,,1993,2.868044681604887,652645700
South America,,1994,2.8508612387092693,655496600
South America,,1995,2.9298297656543197,689449860
South America,,1996,2.967020900040789,719744800
South America,,1997,3.142447335330372,766816900
South America,,1998,3.2546535950797177,791003650
South America,,1999,3.271076772252042,812984400
South America,,2000,3.184696438379213,812433540
South America,,2001,3.0809681977375827,792002600
South America,,2002,3.1204083635361433,819945500
South America,,2003,2.965489489433787,820535700
South America,,2004,2.9926095601857443,856858900
South America,,2005,2.9765843997210437,881497200
South America,,2006,2.968182294188522,909106400
South America,,2007,2.9931875369822762,943890700
South America,,2008,3.07941891768456,987698940
South America,,2009,3.047532181998139,961250200
South America,,2010,3.2144915170048702,1072222700
South America,,2011,3.1561538405831184,1089016300
South America,,2012,3.2683884199314104,1143936600
South America,,2013,3.4230283953247795,1208385700
South America,,2014,3.4534344913402895,1224245800
South America,,2015,3.375632194856593,1195139100
South America,,2016,3.2362563862204645,1146173800
South America,,2017,3.1398711211002404,1130036400
South America,,2018,2.934105865172942,1077709600
South America,,2019,2.9231827021333374,1084625800
South America,,2020,2.788323288047755,979441100
South America,,2021,2.918844320022975,1079731200
South America,,2022,2.939233131020082,1096152800
South America,,2023,2.9344243754950337,1108965000
United States,USA,1923,51.392338243365785,1896735900
United States,USA,1924,45.86612302425658,1698320300
United States,USA,1925,47.00234461081047,1758185500
United States,USA,1926,51.83131059339708,1906048500
United States,USA,1927,46.42072178690385,1862839200
United States,USA,1928,45.81637012151966,1830965000
United States,USA,1929,45.788465879656485,1963506200
United States,USA,1930,44.084737837749074,1744916200
United States,USA,1931,41.956051954885105,1484959100
United States,USA,1932,39.39790270406901,1257814100
United States,USA,1933,40.113107025630676,1348876800
United States,USA,1934,39.28241551539119,1436238600
United States,USA,1935,38.90565949983287,1492320900
United States,USA,1936,40.7186294238098,1713411700
United States,USA,1937,39.864873972413605,1792609900
United States,USA,1938,35.83655629322153,1515749900
United States,USA,1939,37.379643736869,1670920400
United States,USA,1940,38.38514363922311,1874985100
United States,USA,1941,40.87911658366025,2043585000
United States,USA,1942,44.11950453941116,2198264800
United States,USA,1943,44.76722838816299,2272059100
United States,USA,1944,47.35903196653384,2444903700
United States,USA,1945,55.01001371153941,2359551500
United States,USA,1946,48.98493518265197,2257493800
United States,USA,1947,48.1269230045438,2485854500
United States,USA,1948,47.40479487876413,2582558700
United States,USA,1949,41.599685148931336,2164862200
United States,USA,1950,42.8563366677072,2541485300
United States,USA,1951,41.03644645727769,2618711600
United States,USA,1952,39.447005812080846,2551219500
United States,USA,1953,39.287570455325806,2612971300
United States,USA,1954,36.666198366656126,2489462300
United States,USA,1955,36.65435494503572,2728512000
United States,USA,1956,36.083653411364594,2859995000
United States,USA,1957,34.643235181840026,2835772200
United States,USA,1958,32.636881731627525,2747107600
United States,USA,1959,31.982186288398154,2831923200
United States,USA,1960,30.865152232083886,2897315000
United States,USA,1961,30.662345777704296,2886872800
United States,USA,1962,30.715233146536566,2993902000
United States,USA,1963,30.452487914916574,3126487600
United States,USA,1964,30.156809928493878,3264313600
United States,USA,1965,30.0564258602903,3399547000
United States,USA,1966,30.106603966208777,3571421400
United States,USA,1967,30.280061673163285,3705461000
United States,USA,1968,29.762666505037462,3840919600
United States,USA,1969,29.321650383564062,4035145200
United States,USA,1970,29.127368866406506,4339686000
United States,USA,1971,28.157518729984343,4365465000
United States,USA,1972,28.18591510878058,4573015000
United States,USA,1973,28.009411128519233,4785434000
United States,USA,1974,27.167123977275928,4621419000
United States,USA,1975,26.262991053394146,4478563000
United States,USA,1976,26.394362352510075,4748111400
United States,USA,1977,26.43413199632765,4889953300
United States,USA,1978,25.914484881636994,4941708300
United States,USA,1979,25.544139224433618,5008955400
United States,USA,1980,24.675432096516687,4808877600
United States,USA,1981,24.63736784071401,4686743000
United States,USA,1982,23.568326686264676,4447602000
United States,USA,1983,23.324198981114407,4429711000
United States,USA,1984,23.730330406549424,4662488000
United States,USA,1985,22.90744654991212,4652938000
United States,USA,1986,22.622942018806803,4663711000
United States,USA,1987,22.710571745915573,4826012700
United States,USA,1988,22.869958897674717,5050858500
United States,USA,1989,22.926825186370202,5132543500
United States,USA,1990,22.530520983889584,5120957000
United States,USA,1991,21.83618419940803,5062956500
United States,USA,1992,22.967824108893566,5174227500
United States,USA,1993,23.171485764202846,5272850400
United States,USA,1994,23.330122429285662,5364279300
United States,USA,1995,23.054739280821483,5425259500
United States,USA,1996,23.1385317025891,5612983000
United States,USA,1997,23.31024213683211,5688142300
United States,USA,1998,23.59008535327522,5733281000
United States,USA,1999,23.35230707730127,5803918000
United States,USA,2000,23.559413166886383,6010135600
United States,USA,2001,22.981689489548327,5907739600
United States,USA,2002,22.62944209750755,5946308000
United States,USA,2003,21.72120325431285,6010145300
United States,USA,2004,21.348660545064295,6112655000
United States,USA,2005,20.70677054224856,6132183000
United States,USA,2006,19.761686220097832,6052686000
United States,USA,2007,19.43933525753395,6130123000
United States,USA,2008,18.441984069748834,5915118600
United States,USA,2009,17.376004022623704,5480725500
United States,USA,2010,17.027616232012967,5679715300
United States,USA,2011,16.073584310647583,5546116000
United States,USA,2012,15.26880842654879,5344086000
United States,USA,2013,15.52379508871161,5480156700
United States,USA,2014,15.595673399098223,5528681000
United States,USA,2015,15.185676172403038,5376473000
United States,USA,2016,14.831812358109946,5252932000
United States,USA,2017,14.48229184679013,5212162000
United States,USA,2018,14.641259314577368,5377797000
United States,USA,2019,14.18204438813592,5262145000
United States,USA,2020,13.421845424785637,4714628000
United States,USA,2021,13.603613873708358,5032213000
United States,USA,2022,13.618526460341199,5078871000
United States,USA,2023,12.99599668879264,4911391000