Entity,Code,Year,Natural population growth rate - Sex: all - Age: all - Variant: estimates,Child mortality rate - Sex: all - Variant: estimates,Population (historical),World regions according to OWID,time,time
Afghanistan,AFG,2023,2.964,5.6162,41454762,Asia,2023,2023
Albania,ALB,2023,0.19119999,0.9487001,2811660,Europe,2023,2023
Algeria,DZA,2023,1.4984,2.119,46164221,Africa,2023,2023
American Samoa,ASM,2023,0.83669996,1.0587,47543,Oceania,2023,2023
Andorra,AND,2023,0.0783,0.6118,80868,Europe,2023,2023
Angola,AGO,2023,3.0663,6.4339,36749907,Africa,2023,2023
Anguilla,AIA,2023,0.23429999,0.5679,14435,North America,2023,2023
Antigua and Barbuda,ATG,2023,0.4955,0.9327,93333,North America,2023,2023
Argentina,ARG,2023,0.3396,1.0295,45538402,South America,2023,2023
Armenia,ARM,2023,0.2408,0.98249996,2943395,Asia,2023,2023
Aruba,ABW,2023,-0.0122,1.4311,107946,North America,2023,2023
Australia,AUS,2023,0.4553,0.3811,26451125,Oceania,2023,2023
Austria,AUT,2023,-0.1771,0.3497,9130434,Europe,2023,2023
Azerbaijan,AZE,2023,0.5553,1.749,10318210,Asia,2023,2023
Bahamas,BHS,2023,0.2139,1.2693,399452,North America,2023,2023
Bahrain,BHR,2023,1.0371001,0.6334,1569674,Asia,2023,2023
Bangladesh,BGD,2023,1.5343001,2.7568002,171466986,Asia,2023,2023
Barbados,BRB,2023,0.056,1.048,282348,North America,2023,2023
Belarus,BLR,2023,-0.62020004,0.2419,9115680,Europe,2023,2023
Belgium,BEL,2023,-0.1033,0.3879,11712894,Europe,2023,2023
Belize,BLZ,2023,1.3100001,1.0369,411115,North America,2023,2023
Benin,BEN,2023,2.5082002,7.8616996,14111035,Africa,2023,2023
Bermuda,BMU,2023,-0.081199996,0.2352,64721,North America,2023,2023
Bhutan,BTN,2023,0.6553,2.2670999,786387,Asia,2023,2023
Bolivia,BOL,2023,1.4075,4.1400003,12244161,South America,2023,2023
Bonaire Sint Eustatius and Saba,BES,2023,0.0733,1.2732999,29919,North America,2023,2023
Bosnia and Herzegovina,BIH,2023,-0.5743,0.5953,3185071,Europe,2023,2023
Botswana,BWA,2023,1.8989,3.7622,2480242,Africa,2023,2023
Brazil,BRA,2023,0.5245,1.3770001,211140731,South America,2023,2023
British Virgin Islands,VGB,2023,0.23599999,1.2661,39008,North America,2023,2023
Brunei,BRN,2023,0.83599997,0.9679,458959,Asia,2023,2023
Bulgaria,BGR,2023,-0.5935,0.5653,6795804,Europe,2023,2023
Burkina Faso,BFA,2023,2.3679001,7.7144,23025778,Africa,2023,2023
Burundi,BDI,2023,2.6949,4.8759,13689455,Africa,2023,2023
Cambodia,KHM,2023,1.4362,2.2881,17423881,Asia,2023,2023
Cameroon,CMR,2023,2.6592,6.762,28372688,Africa,2023,2023
Canada,CAN,2023,0.1143,0.48720002,39299099,North America,2023,2023
Cape Verde,CPV,2023,0.7271,1.1782,522335,Africa,2023,2023
Cayman Islands,CYM,2023,0.7037,0.1585,73055,North America,2023,2023
Central African Republic,CAF,2023,3.6938999,9.4501,5152417,Africa,2023,2023
Chad,TCD,2023,3.1364,9.967199,19319073,Africa,2023,2023
Chile,CHL,2023,0.24679999,0.504,19658834,South America,2023,2023
China,CHN,2023,-0.1957,0.7192,1422584937,Asia,2023,2023
Colombia,COL,2023,0.8077,1.1939,52321152,South America,2023,2023
Comoros,COM,2023,2.1457,4.6553,850390,Africa,2023,2023
Congo,COG,2023,2.4339,3.9875,6182889,Africa,2023,2023
Cook Islands,COK,2023,0.3214,0.6696,14243,Oceania,2023,2023
Costa Rica,CRI,2023,0.4722,0.7599,5105527,North America,2023,2023
Cote d'Ivoire,CIV,2023,2.433,6.7316003,31165651,Africa,2023,2023
Croatia,HRV,2023,-0.6053,0.39609998,3896024,Europe,2023,2023
Cuba,CUB,2023,-0.1441,0.5729,11019931,North America,2023,2023
Curacao,CUW,2023,-0.2423,1.0220001,185437,North America,2023,2023
Cyprus,CYP,2023,0.3736,0.3558,1344979,Europe,2023,2023
Czechia,CZE,2023,-0.2006,0.2703,10809722,Europe,2023,2023
Democratic Republic of Congo,COD,2023,3.2779999,7.3397,105789733,Africa,2023,2023
Denmark,DNK,2023,0.009000001,0.3402,5948134,Europe,2023,2023
Djibouti,DJI,2023,1.3313,5.0278997,1152951,Africa,2023,2023
Dominica,DMA,2023,-0.1673,3.271,66531,North America,2023,2023
Dominican Republic,DOM,2023,1.1681,3.1653,11331268,North America,2023,2023
East Timor,TLS,2023,1.4806,4.6647,1384292,Asia,2023,2023
Ecuador,ECU,2023,0.9905,1.1759,17980079,South America,2023,2023
Egypt,EGY,2023,1.5543001,1.7701,114535772,Africa,2023,2023
El Salvador,SLV,2023,0.82390004,1.143,6309628,North America,2023,2023
Equatorial Guinea,GNQ,2023,2.1726,7.0638,1847556,Africa,2023,2023
Eritrea,ERI,2023,2.2497,3.5299,3470392,Africa,2023,2023
Estonia,EST,2023,-0.4138,0.20390001,1367194,Europe,2023,2023
Eswatini,SWZ,2023,1.6372999,4.955,1230508,Africa,2023,2023
Ethiopia,ETH,2023,2.5943,4.461,128691696,Africa,2023,2023
Falkland Islands,FLK,2023,0.3463,1.0622,3498,South America,2023,2023
Faroe Islands,FRO,2023,0.2303,0.7709,54738,Europe,2023,2023
Fiji,FJI,2023,0.8741,2.8761,924150,Oceania,2023,2023
Finland,FIN,2023,-0.2933,0.252,5601185,Europe,2023,2023
France,FRA,2023,0.0343,0.4125,66438828,Europe,2023,2023
French Guiana,GUF,2023,2.0451999,1.1109,303409,South America,2023,2023
French Polynesia,PYF,2023,0.7258,0.609,281124,Oceania,2023,2023
Gabon,GAB,2023,2.1397,3.7373002,2484790,Africa,2023,2023
Gambia,GMB,2023,2.4136999,4.403,2697848,Africa,2023,2023
Georgia,GEO,2023,-0.0345,0.92410004,3807494,Asia,2023,2023
Germany,DEU,2023,-0.3724,0.3499,84548234,Europe,2023,2023
Ghana,GHA,2023,1.927,4.0980997,33787915,Africa,2023,2023
Gibraltar,GIB,2023,0.556,1.0503,38493,Europe,2023,2023
Greece,GRC,2023,-0.521,0.3829,10242909,Europe,2023,2023
Greenland,GRL,2023,0.4256,1.1679,55951,North America,2023,2023
Grenada,GRD,2023,0.2852,1.6087,117093,North America,2023,2023
Guadeloupe,GLP,2023,0.1787,0.9177,376519,North America,2023,2023
Guam,GUM,2023,1.0794,1.3317001,166523,Oceania,2023,2023
Guatemala,GTM,2023,1.5979999,2.145,18124842,North America,2023,2023
Guernsey,GGY,2023,-0.1164,0.6717,64042,Europe,2023,2023
Guinea,GIN,2023,2.4723,9.314,14405469,Africa,2023,2023
Guinea-Bissau,GNB,2023,2.2986999,6.9403,2153344,Africa,2023,2023
Guyana,GUY,2023,1.2967,2.5683,826360,South America,2023,2023
Haiti,HTI,2023,1.4383,5.5609,11637402,North America,2023,2023
Honduras,HND,2023,1.7485001,1.5446999,10644855,North America,2023,2023
Hong Kong,HKG,2023,-0.2136,0.1797,7442738,Asia,2023,2023
Hungary,HUN,2023,-0.4407,0.3852,9686463,Europe,2023,2023
Iceland,ISL,2023,0.44759998,0.1566,387559,Europe,2023,2023
India,IND,2023,0.9535,2.762,1438069597,Asia,2023,2023
Indonesia,IDN,2023,0.84099996,2.0534,281190068,Asia,2023,2023
Iran,IRN,2023,0.82790005,1.1644,90608708,Asia,2023,2023
Iraq,IRQ,2023,2.1596,2.2849002,45074055,Asia,2023,2023
Ireland,IRL,2023,0.3409,0.3268,5196629,Europe,2023,2023
Isle of Man,IMN,2023,-0.2136,1.3508999,84180,Europe,2023,2023
Israel,ISR,2023,1.3074,0.39360002,9256311,Asia,2023,2023
Italy,ITA,2023,-0.46859998,0.26500002,59499452,Europe,2023,2023
Jamaica,JAM,2023,0.3547,1.9420999,2839785,North America,2023,2023
Japan,JPN,2023,-0.6228,0.2268,124370947,Asia,2023,2023
Jersey,JEY,2023,-0.2858,0.9965,103679,Europe,2023,2023
Jordan,JOR,2023,1.7562001,1.3703,11439219,Asia,2023,2023
Kazakhstan,KAZ,2023,1.3429,0.95170003,20330106,Asia,2023,2023
Kenya,KEN,2023,1.9895,4.0999002,55339007,Africa,2023,2023
Kiribati,KIR,2023,1.8767,5.4812,132539,Oceania,2023,2023
Kosovo,OWID_KOS,2023,0.6196,0.90349996,1700039,Europe,2023,2023
Kuwait,KWT,2023,0.8415,0.8531,4838780,Asia,2023,2023
Kyrgyzstan,KGZ,2023,1.5347,1.6993,7073523,Asia,2023,2023
Laos,LAO,2023,1.505,3.8932998,7665002,Asia,2023,2023
Latvia,LVA,2023,-0.71,0.36270002,1882400,Europe,2023,2023
Lebanon,LBN,2023,1.0182,1.8542,5773492,Asia,2023,2023
Lesotho,LSO,2023,1.3461001,7.1644998,2311476,Africa,2023,2023
Liberia,LBR,2023,2.2889,7.1169,5493034,Africa,2023,2023
Libya,LBY,2023,1.037,3.2542999,7305660,Africa,2023,2023
Liechtenstein,LIE,2023,0.1787,0.6513,39621,Europe,2023,2023
Lithuania,LTU,2023,-0.68340003,0.32349998,2854105,Europe,2023,2023
Luxembourg,LUX,2023,0.3464,0.6756,665101,Europe,2023,2023
Macao,MAC,2023,0.153,0.3025,713916,Asia,2023,2023
Madagascar,MDG,2023,2.4566998,6.5596,31195936,Africa,2023,2023
Malawi,MWI,2023,2.6018,3.9261003,21104480,Africa,2023,2023
Malaysia,MYS,2023,0.72540003,0.77849996,35126295,Asia,2023,2023
Maldives,MDV,2023,0.86800003,0.5216,526009,Asia,2023,2023
Mali,MLI,2023,3.1402001,9.1707,23769129,Africa,2023,2023
Malta,MLT,2023,0.0533,0.7737,532964,Europe,2023,2023
Marshall Islands,MHL,2023,1.4168999,2.7768,38849,Oceania,2023,2023
Martinique,MTQ,2023,0.0651,0.88570005,346008,North America,2023,2023
Mauritania,MRT,2023,2.8903,3.7998002,5022440,Africa,2023,2023
Mauritius,MUS,2023,0.0534,1.4245,1273590,Africa,2023,2023
Mayotte,MYT,2023,3.2693,1.1293,316028,Africa,2023,2023
Mexico,MEX,2023,0.9545,1.2423999,129739764,North America,2023,2023
Micronesia (country),FSM,2023,1.4659001,2.283,112646,Oceania,2023,2023
Moldova,MDA,2023,-0.2851,1.3894,3067071,Europe,2023,2023
Monaco,MCO,2023,-1.153,0.4573,38978,Europe,2023,2023
Mongolia,MNG,2023,1.3018,1.2783,3431939,Asia,2023,2023
Montenegro,MNE,2023,-0.0359,0.33359998,633557,Europe,2023,2023
Montserrat,MSR,2023,-0.4752,0.6406,4440,North America,2023,2023
Morocco,MAR,2023,1.1063,1.6945,37712517,Africa,2023,2023
Mozambique,MOZ,2023,3.0484,6.4331,33635165,Africa,2023,2023
Myanmar,MMR,2023,0.7543,3.9347,54133801,Asia,2023,2023
Namibia,NAM,2023,1.9721,3.6876,2963101,Africa,2023,2023
Nauru,NRU,2023,1.7986,2.578,11900,Oceania,2023,2023
Nepal,NPL,2023,1.2408,2.6245,29694614,Asia,2023,2023
Netherlands,NLD,2023,0.0083,0.3909,18092525,Europe,2023,2023
New Caledonia,NCL,2023,0.79910004,1.1775,289880,Oceania,2023,2023
New Zealand,NZL,2023,0.4166,0.5414,5172839,Oceania,2023,2023
Nicaragua,NIC,2023,1.479,1.4706,6823618,North America,2023,2023
Niger,NER,2023,3.3033001,11.6002,26159862,Africa,2023,2023
Nigeria,NGA,2023,2.1214,10.4174,227882949,Africa,2023,2023
Niue,NIU,2023,-0.0848,2.4107,1841,Oceania,2023,2023
North Korea,PRK,2023,0.3263,1.8048,26418196,Asia,2023,2023
North Macedonia,MKD,2023,-0.163,0.5711,1831800,Europe,2023,2023
Northern Mariana Islands,MNP,2023,0.8214,0.62119997,45165,Oceania,2023,2023
Norway,NOR,2023,0.13409999,0.23599999,5519166,Europe,2023,2023
Oman,OMN,2023,1.4946,1.0376999,5049268,Asia,2023,2023
Pakistan,PAK,2023,2.134,5.9234,247504504,Asia,2023,2023
Palau,PLW,2023,-0.0598,2.1975,17750,Oceania,2023,2023
Palestine,PSE,2023,1.9864,2.6051002,5409201,Asia,2023,2023
Panama,PAN,2023,1.1258,1.6121,4458759,North America,2023,2023
Papua New Guinea,PNG,2023,1.806,3.9780998,10389638,Oceania,2023,2023
Paraguay,PRY,2023,1.4282,1.684,6844152,South America,2023,2023
Peru,PER,2023,1.0453,1.4755,33845617,South America,2023,2023
Philippines,PHL,2023,0.9783,2.7714,114891200,Asia,2023,2023
Poland,POL,2023,-0.2435,0.3703,38762847,Europe,2023,2023
Portugal,PRT,2023,-0.2806,0.3206,10430735,Europe,2023,2023
Puerto Rico,PRI,2023,-0.4877,0.6001,3242023,North America,2023,2023
Qatar,QAT,2023,0.89779997,0.4969,2979087,Asia,2023,2023
Reunion,REU,2023,0.8237001,0.64419997,874883,Africa,2023,2023
Romania,ROU,2023,-0.3845,0.5905,19118481,Europe,2023,2023
Russia,RUS,2023,-0.34219998,0.44439998,145440504,Europe,2023,2023
Rwanda,RWA,2023,2.2413,3.6787999,13954474,Africa,2023,2023
Saint Barthelemy,BLM,2023,-0.1539,0.6091,11112,North America,2023,2023
Saint Helena,SHN,2023,-0.94949996,1.4061,5316,Africa,2023,2023
Saint Kitts and Nevis,KNA,2023,0.17819999,1.4923,46783,North America,2023,2023
Saint Lucia,LCA,2023,0.2648,1.7162001,179293,North America,2023,2023
Saint Martin (French part),MAF,2023,0.7787,0.96239996,27545,North America,2023,2023
Saint Pierre and Miquelon,SPM,2023,-0.916,0.97969997,5707,North America,2023,2023
Saint Vincent and the Grenadines,VCT,2023,0.0659,1.4747,101331,North America,2023,2023
Samoa,WSM,2023,1.9244,1.5646,216674,Oceania,2023,2023
San Marino,SMR,2023,-0.20729999,0.1401,33761,Europe,2023,2023
Sao Tome and Principe,STP,2023,2.2613,1.3683,230881,Africa,2023,2023
Saudi Arabia,SAU,2023,1.4075,0.62,33264288,Asia,2023,2023
Senegal,SEN,2023,2.3841999,3.5561001,18077573,Africa,2023,2023
Serbia,SRB,2023,-0.5033,0.4956,6773203,Europe,2023,2023
Seychelles,SYC,2023,0.54120004,1.4337,127961,Africa,2023,2023
Sierra Leone,SLE,2023,2.2314,9.718699,8460523,Africa,2023,2023
Singapore,SGP,2023,0.34100002,0.2225,5789091,Asia,2023,2023
Sint Maarten (Dutch part),SXM,2023,0.1,1.4897001,42775,North America,2023,2023
Slovakia,SVK,2023,-0.0343,0.5518,5518057,Europe,2023,2023
Slovenia,SVN,2023,-0.1737,0.22230001,2118395,Europe,2023,2023
Solomon Islands,SLB,2023,2.1794,1.7801001,800013,Oceania,2023,2023
Somalia,SOM,2023,3.3129,10.3185,18358621,Africa,2023,2023
South Africa,ZAF,2023,0.95360005,3.7368999,63212386,Africa,2023,2023
South Korea,KOR,2023,-0.2109,0.27539998,51748744,Asia,2023,2023
South Sudan,SSD,2023,1.8981001,9.911,11483373,Africa,2023,2023
Spain,ESP,2023,-0.2309,0.2886,47911583,Europe,2023,2023
Sri Lanka,LKA,2023,0.7037,0.6276,22971616,Asia,2023,2023
Sudan,SDN,2023,2.7208,5.0288,50042799,Africa,2023,2023
Suriname,SUR,2023,1.0649,1.6091999,628892,South America,2023,2023
Sweden,SWE,2023,0.0377,0.2354,10551493,Europe,2023,2023
Switzerland,CHE,2023,0.1118,0.36180001,8870564,Europe,2023,2023
Syria,SYR,2023,1.7068001,2.3075001,23594622,Asia,2023,2023
Taiwan,TWN,2023,-0.3128,0.4197,23317145,Asia,2023,2023
Tajikistan,TJK,2023,2.1543,2.986,10389808,Asia,2023,2023
Tanzania,TZA,2023,2.9431,3.8976002,66617607,Africa,2023,2023
Thailand,THA,2023,-0.0643,0.81049997,71702438,Asia,2023,2023
Togo,TGO,2023,2.344,5.8469,9304344,Africa,2023,2023
Tokelau,TKL,2023,1.3869001,0.536,2424,Oceania,2023,2023
Tonga,TON,2023,1.6674999,1.0687001,104614,Oceania,2023,2023
Trinidad and Tobago,TTO,2023,0.234,1.6003001,1502936,North America,2023,2023
Tunisia,TUN,2023,0.7677,1.0712,12200434,Africa,2023,2023
Turkey,TUR,2023,0.5963,1.3104999,87270503,Asia,2023,2023
Turkmenistan,TKM,2023,1.5958999,3.9508,7364437,Asia,2023,2023
Turks and Caicos Islands,TCA,2023,0.3337,0.5811,46219,North America,2023,2023
Tuvalu,TUV,2023,1.3937,1.9719999,9837,Oceania,2023,2023
Uganda,UGA,2023,3.0358999,3.8944001,48656604,Africa,2023,2023
Ukraine,UKR,2023,-0.7505,0.6974,37732832,Europe,2023,2023
United Arab Emirates,ARE,2023,0.8842,0.5974,10642089,Asia,2023,2023
United Kingdom,GBR,2023,0.050499998,0.42399997,68682965,Europe,2023,2023
United States,USA,2023,0.1985,0.61609995,343477332,North America,2023,2023
United States Virgin Islands,VIR,2023,-0.42220002,0.5751,85712,North America,2023,2023
Uruguay,URY,2023,0.0088,0.67579997,3388083,South America,2023,2023
Uzbekistan,UZB,2023,2.0259001,1.3594,35652309,Asia,2023,2023
Vanuatu,VUT,2023,2.2967,1.7650999,320422,Oceania,2023,2023
Vatican,VAT,2023,-2.1369,0.6986,501,Europe,2023,2023
Venezuela,VEN,2023,0.7527,1.8834999,28300860,South America,2023,2023
Vietnam,VNM,2023,0.72540003,2.0219,100352189,Asia,2023,2023
Wallis and Futuna,WLF,2023,0.08,1.2916,11394,Oceania,2023,2023
Western Sahara,ESH,2023,0.91590005,2.8211,579735,Africa,2023,2023
Yemen,YEM,2023,3.0417,3.9803002,39390800,Asia,2023,2023
Zambia,ZMB,2023,2.7874,5.2029,20723968,Africa,2023,2023
Zimbabwe,ZWE,2023,2.2796,4.571,16340829,Africa,2023,2023